Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Most_Wickets_in_Match,Runs_in_Best_Bowling_Match
2022.0,Ravindra Jadeja,10.0,4.0,116.0,26.0,19.33,98.0,118.37,0.0,0.0,6.0,5.0,7.0,0.0,10.0,198.0,248.0,5.0,49.6,7.52,39.6,0.0,0.0,3.0,39.0
2021.0,Ravindra Jadeja,16.0,9.0,227.0,62.0,75.66,156.0,145.51,0.0,1.0,19.0,9.0,13.0,0.0,16.0,294.0,346.0,13.0,26.61,7.06,22.61,0.0,0.0,3.0,13.0
2020.0,Ravindra Jadeja,14.0,6.0,232.0,50.0,46.4,135.0,171.85,0.0,1.0,22.0,11.0,5.0,0.0,14.0,218.0,318.0,6.0,53.0,8.75,36.33,0.0,0.0,2.0,42.0
2019.0,Ravindra Jadeja,16.0,6.0,106.0,31.0,35.33,88.0,120.45,0.0,0.0,7.0,4.0,9.0,0.0,16.0,324.0,343.0,15.0,22.86,6.35,21.6,0.0,0.0,3.0,9.0
2018.0,Ravindra Jadeja,16.0,5.0,89.0,27.0,17.8,74.0,120.27,0.0,0.0,3.0,4.0,11.0,0.0,16.0,246.0,303.0,11.0,27.54,7.39,22.36,0.0,0.0,3.0,18.0
2017.0,Ravindra Jadeja,12.0,6.0,158.0,28.0,39.5,113.0,139.82,0.0,0.0,13.0,4.0,2.0,0.0,12.0,228.0,349.0,5.0,69.8,9.18,45.6,0.0,0.0,2.0,28.0
2016.0,Ravindra Jadeja,15.0,6.0,191.0,36.0,21.22,178.0,107.3,0.0,0.0,14.0,4.0,4.0,0.0,15.0,241.0,311.0,8.0,38.87,7.74,30.12,0.0,0.0,2.0,18.0
2015.0,Ravindra Jadeja,17.0,5.0,132.0,24.0,18.85,126.0,104.76,0.0,0.0,7.0,3.0,13.0,0.0,17.0,256.0,330.0,11.0,30.0,7.73,23.27,1.0,0.0,4.0,11.0
2014.0,Ravindra Jadeja,16.0,5.0,146.0,36.0,29.2,110.0,132.72,0.0,0.0,9.0,5.0,4.0,0.0,16.0,326.0,443.0,19.0,23.31,8.15,17.15,2.0,0.0,4.0,12.0
2013.0,Ravindra Jadeja,18.0,6.0,201.0,38.0,25.12,135.0,148.88,0.0,0.0,17.0,6.0,6.0,0.0,18.0,259.0,323.0,13.0,24.84,7.48,19.92,0.0,0.0,3.0,20.0
2012.0,Ravindra Jadeja,19.0,2.0,191.0,48.0,15.91,151.0,126.49,0.0,0.0,13.0,9.0,2.0,0.0,19.0,210.0,273.0,12.0,22.75,7.8,17.5,0.0,1.0,5.0,16.0
2011.0,Ravindra Jadeja,14.0,3.0,283.0,47.0,31.44,228.0,124.12,0.0,0.0,20.0,14.0,1.0,0.0,14.0,252.0,305.0,8.0,38.12,7.26,31.5,0.0,0.0,2.0,25.0
